ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.899790, ADJ_RAND_SCORE=0.819277
ACC=1.000000, f1_macro=1.000000, precision_macro=1.000000, recall_macro=1.000000, f1_micro=1.000000, precision_micro=1.000000, recall_micro=1.000000, NMI=1.000000, ADJ_RAND_SCORE=1.000000
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.830540, ADJ_RAND_SCORE=0.700000
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.830540, ADJ_RAND_SCORE=0.700000
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.086153, ADJ_RAND_SCORE=-0.005404
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.086153, ADJ_RAND_SCORE=-0.005404
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.131181, ADJ_RAND_SCORE=0.008384
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.110981, ADJ_RAND_SCORE=-0.018758
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.110981, ADJ_RAND_SCORE=-0.018758
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.169784, ADJ_RAND_SCORE=-0.009778
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.279761, ADJ_RAND_SCORE=0.010836
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.336435, ADJ_RAND_SCORE=0.052434
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.000000, ADJ_RAND_SCORE=0.000000
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.000773, ADJ_RAND_SCORE=-0.000745
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004783, ADJ_RAND_SCORE=0.001942
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.084891, ADJ_RAND_SCORE=0.000791
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.211838, ADJ_RAND_SCORE=0.167042
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.035095, ADJ_RAND_SCORE=0.011206
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.000000, ADJ_RAND_SCORE=0.000000
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.000773, ADJ_RAND_SCORE=-0.000745
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004783, ADJ_RAND_SCORE=0.001942
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.084891, ADJ_RAND_SCORE=0.000791
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.211838, ADJ_RAND_SCORE=0.167042
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.035095, ADJ_RAND_SCORE=0.011206
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.000000, ADJ_RAND_SCORE=0.000000
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.000773, ADJ_RAND_SCORE=-0.000745
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004783, ADJ_RAND_SCORE=0.001942
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.084891, ADJ_RAND_SCORE=0.000791
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.211838, ADJ_RAND_SCORE=0.167042
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.035095, ADJ_RAND_SCORE=0.011206
ACC=0.256684, f1_macro=0.208168, precision_macro=0.261977, recall_macro=0.211734, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032111, ADJ_RAND_SCORE=0.004728
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.004281, ADJ_RAND_SCORE=0.001311
ACC=0.170236, f1_macro=0.161856, precision_macro=0.170581, recall_macro=0.173678, f1_micro=0.170236, precision_micro=0.170236, recall_micro=0.170236, NMI=0.006968, ADJ_RAND_SCORE=0.002130
ACC=0.348718, f1_macro=0.336042, precision_macro=0.350601, recall_macro=0.375519, f1_micro=0.348718, precision_micro=0.348718, recall_micro=0.348718, NMI=0.102135, ADJ_RAND_SCORE=0.048199
ACC=0.391304, f1_macro=0.344641, precision_macro=0.392603, recall_macro=0.371824, f1_micro=0.391304, precision_micro=0.391304, recall_micro=0.391304, NMI=0.189315, ADJ_RAND_SCORE=0.126255
